French,Frequency,English
de,8435682,of
je,8308698,i
est,6942248,east
pas,5833676,not
le,5305591,the
que,5083052,that
la,4825603,there
vous,4500162,you
tu,4434920,you
un,4360896,a
c',4184576,vs'
à,4119959,has
et,4110855,and
il,4025241,he
a,3679682,has
l',3675406,l'
ne,3343288,born
les,3046663,the
j',2981242,i
en,2925411,in
on,2756346,we
ça,2742676,that
une,2717481,a
d',2603041,d '
ce,2533544,this
qu',2520219,that
pour,2475533,for
ai,2437065,have
n',2300252,not'
des,1902327,of the
qui,1665879,who
mais,1641141,but
dans,1508883,in
nous,1504467,we
elle,1476885,she
me,1446772,me
bien,1438129,good
si,1409401,if
du,1337227,of
y,1320695,y
suis,1303070,am
non,1290498,no
t',1257857,t '
avec,1256800,with
tout,1243107,all
plus,1214520,more
mon,1195613,my
m',1141238,m '
te,1127735,you
au,1109359,at
fait,1054966,do
moi,1048758,me
s',1037629,s'
oui,1001703,yes
va,989526,go
était,985841,was
as,974673,as
faire,966573,to do
ils,945659,they
sur,939169,on
quoi,894291,what
se,867737,se
comme,864987,as
sais,851748,know
être,743252,be
veux,738917,want
ici,725494,here
ma,716527,my
toi,707904,you
est-ce,707256,is it
dit,701414,said
lui,689708,him
votre,677006,your
es,662531,es
pourquoi,657070,why
où,643564,or
là,643024,there
rien,638070,nothing
cette,626319,this
sont,609102,are
quand,598113,when
peux,594578,can
dire,586553,say
son,585229,her
avez,552796,have
vais,542593,go
alors,542173,so
ton,540446,your
comment,528569,how
par,519463,by
ou,497358,or
chose,490339,thing
bon,483364,good
ont,471659,have
merci,471415,thanks
juste,465932,just
très,462324,very
jamais,436873,never
été,432574,summer
aussi,427827,also
avoir,427178,to have
vraiment,423339,really
voir,419803,see
même,411247,even
sa,408233,her
oh,408070,oh
maintenant,402585,now
tous,399645,all
peut,393199,can
deux,388269,two
ces,388071,these
êtes,376665,are
allez,374660,go on
ta,373455,your
autre,370961,other
peu,354756,little
temps,354330,time
quelque,353553,some
fais,353373,do 
toujours,345760,always
encore,342386,again
notre,339810,our
mes,332672,my
besoin,329446,need
avait,320073,had
accord,315183,agreement
faut,313023,must
dois,310780,must
vie,310140,life
peut-être,306785,maybe
aller,303502,go
fois,297685,times
vu,290541,seen
donc,281973,so
sans,281163,without
monde,277005,world
étais,276408,is
parce,273723,because
avant,272706,before
sûr,271047,on
trop,265575,too much
quelqu',265286,someone
parler,262709,talk
personne,260005,person
avais,257602,had
père,257456,father
crois,251561,believe
après,250383,after
aux,244896,to
dieu,242078,god
ouais,241407,yeah
ses,240780,his
pense,240390,think
eu,238206,eu
aime,237696,love
leur,236536,their
homme,236357,man
viens,233234,come
vrai,233001,true
femme,232974,women
doit,227951,must
veut,227166,wanna
ans,225795,years
m.,223793,m.
mal,219886,wrong
chez,218436,at the house of
déjà,214718,already
depuis,214022,since
beaucoup,211787,a lot
vos,211081,your
bonne,209592,good
mort,208796,dead
mieux,205274,better
vas,203968,go
mère,202937,mother
sera,202795,will be
dis,201949,say
fille,201540,girl
tes,199689,your 
gens,198558,people
quel,193928,what
vois,193613,see 
désolé,191841,sorry
ca,189898,that
voilà,189677,there
avons,186788,have
petit,186600,little
maison,185035,house
soit,179962,either
cela,177397,that
autres,175480,others
toute,174066,all
soir,172574,evening
passé,172214,pass
prendre,170367,take
jour,170304,day
monsieur,164959,sir
nos,164465,our
savoir,163428,know
choses,163193,things
salut,160990,hi
cet,160783,this
nom,160549,name
argent,159413,money
bonjour,156301,good morning
nuit,155789,night
raison,153137,reason
moins,153102,less
arrive,152291,arrived
maman,151089,mom
reste,150311,stay
moment,149622,moment
voulais,149394,wanted
seul,149265,alone
aider,148607,help
air,148370,air
entre,147420,between
papa,146818,dad
passe,144680,pass
aurais,143292,would have
problème,141208,issue
ah,140158,ah
peur,139829,fear
regarde,138016,look at
voulez,137416,want
gars,136154,guys
trouvé,135198,find
fils,134600,son
attends,134144,hold on
savez,133759,know
jusqu',133102,up to
trouver,132646,find
trois,132625,three
assez,132619,enough
famille,132352,family
dû,132063,of
eh,131788,eh
toutes,131387,all
plaît,131162,jail
pourrait,130894,could
travail,130261,work
pris,129066,taken
pu,128934,could
tête,128754,head
quelle,128659,what
sait,128125,knows
sommes,127717,are
appelle,127367,call
quelques,127034,a few
faites,125636,do
partir,125282,leave
vite,125063,quickly
arrête,124854,stopped
seule,124521,alone
serait,123944,would be
voiture,123524,car
enfants,123384,children
tuer,121829,kill
merde,121318,shit
hé,121065,hey
pendant,121060,during
idée,120671,idea
chance,120655,chance
parle,120341,speak
aurait,120181,would have
part,119964,go
elles,118978,they
jours,118455,days
grand,117213,big
aujourd'hui,117159,today
venir,116762,come
ami,116639,friend
demain,116541,tomorrow
hein,116301,eh
tard,115148,late
puis,115038,then
truc,114959,thing
passer,114718,pass
petite,114295,small
tant,113917,so much
connais,113815,know
combien,113220,how much
mec,113219,dude
sens,112925,sense
pouvez,112615,can
porte,110258,door
sortir,109313,to go out
super,108980,great
heure,108452,hour
contre,108451,against
coup,108065,cut
comprends,107885,understand
entendu,107777,heard
vient,107616,come
allons,106551,let's go
ensemble,106057,together
nouveau,105566,new
amour,104503,love
importe,104429,imported
sang,103824,blood
désolée,102105,sorry
cas,100615,case
sous,100518,below
amis,99948,friends
prends,99491,take
fini,98823,finished
hommes,98230,men
tué,98218,kill
question,97869,question
partie,97788,part
histoire,97363,history
